service_id,date,exception_type
401,20241118,1
501,20241118,1
4401,20241118,1
401,20241119,1
501,20241119,1
4501,20241119,1
401,20241120,1
501,20241120,1
4401,20241120,1
401,20241121,1
501,20241121,1
4401,20241121,1
401,20241122,1
501,20241122,1
4501,20241122,1
401,20241125,1
501,20241125,1
4401,20241125,1
401,20241126,1
501,20241126,1
4501,20241126,1
401,20241127,1
501,20241127,1
4401,20241127,1
401,20241128,1
501,20241128,1
4401,20241128,1
401,20241129,1
501,20241129,1
4501,20241129,1
401,20241202,1
501,20241202,1
4401,20241202,1
401,20241203,1
501,20241203,1
4501,20241203,1
401,20241204,1
501,20241204,1
4401,20241204,1
401,20241205,1
501,20241205,1
4401,20241205,1
401,20241206,1
501,20241206,1
4501,20241206,1
401,20241209,1
501,20241209,1
4401,20241209,1
401,20241210,1
501,20241210,1
4501,20241210,1
401,20241211,1
501,20241211,1
4401,20241211,1
401,20241212,1
501,20241212,1
4401,20241212,1
401,20241213,1
501,20241213,1
4501,20241213,1
401,20241216,1
501,20241216,1
4401,20241216,1
401,20241217,1
501,20241217,1
4501,20241217,1
401,20241218,1
501,20241218,1
4401,20241218,1
401,20241219,1
501,20241219,1
4401,20241219,1
401,20241220,1
501,20241220,1
4501,20241220,1
