route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
73152,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
72932,1,10,VAN HORNE,,3,,FF0000,FFFFFF
72933,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
72934,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
72935,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
72936,1,104,FAYWOOD,,3,,FF0000,FFFFFF
72937,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
72938,1,106,SENTINEL,,3,,FF0000,FFFFFF
72939,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
72940,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
72941,1,109,RANEE,,3,,FF0000,FFFFFF
72942,1,11,BAYVIEW,,3,,FF0000,FFFFFF
72943,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
72944,1,111,EAST MALL,,3,,FF0000,FFFFFF
72945,1,112,WEST MALL,,3,,FF0000,FFFFFF
72946,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
72947,1,114,QUEENS QUAY EAST,,3,,FF0000,FFFFFF
72948,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
72949,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
72950,1,117,BIRCHMOUNT SOUTH,,3,,FF0000,FFFFFF
72951,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
72952,1,119,TORBARRIE,,3,,FF0000,FFFFFF
72953,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
72954,1,120,CALVINGTON,,3,,FF0000,FFFFFF
72955,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
72956,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
72957,1,123,SHERWAY,,3,,FF0000,FFFFFF
72958,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
72959,1,125,DREWRY,,3,,FF0000,FFFFFF
72960,1,126,CHRISTIE,,3,,FF0000,FFFFFF
72961,1,127,DAVENPORT,,3,,FF0000,FFFFFF
72962,1,128,STANLEY GREENE,,3,,FF0000,FFFFFF
72963,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
72964,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
72965,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
72966,1,131,NUGGET,,3,,FF0000,FFFFFF
72967,1,132,MILNER,,3,,FF0000,FFFFFF
72968,1,133,NEILSON,,3,,FF0000,FFFFFF
72969,1,134,PROGRESS,,3,,FF0000,FFFFFF
72970,1,135,GERRARD,,3,,FF0000,FFFFFF
72971,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
72972,1,15,EVANS,,3,,FF0000,FFFFFF
72973,1,154,CURRAN HALL,,3,,FF0000,FFFFFF
72974,1,16,McCOWAN,,3,,FF0000,FFFFFF
72975,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
72976,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
72977,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
72978,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
72979,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
