Current road restrictions
ID,Road,Name,District,Latitude,Longitude,RoadClass,Planned,SeverityOverride,Source,CreatedTime,LastUpdated,StartTime,EndTime,WorkPeriod,Expired,Signing,Notification,WorkEventType,Contractor,PermitType,Description,SpecialEvent,FromRoad,ToRoad,AtRoad,DirectionsAffected,Type,SubType,ScheduleMonday,ScheduleTuesday,ScheduleWednesday,ScheduleThursday,ScheduleFriday,ScheduleSaturday,ScheduleSunday,ScheduleEveryday,URL,GeoPolyline,MaxImpact,CurrImpact
"Tor-RDAR2024-5962-2","Maher Ave","Maher Ave from Runnymede Rd to Ln W Gilmour S Vernon","TORONTO","43.662200","-79.480710","Local Road","1","0","City of Toronto Construction","1733234149000","1740911402000","1733745600000","1743154200000","Daily","0","","","City of Toronto Construction","CRCE Construction","City of Toronto Construction","Toronto-TMC: Sewer Replacement, Road rehabilitation, Curb and Sidewalk replacement for state of good repair","No","Runnymede Rd","Ln W Gilmour S Vernon","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","07:00-05:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.480710,43.662200],[-79.480160,43.662310],[-79.480160,43.662310],[-79.480070,43.662340],[-79.480070,43.662340],[-79.479690,43.662430],[-79.479690,43.662430],[-79.478700,43.662640],[-79.478670,43.662650]","Low","None"
"Tor-RDAR2024-5962-1","Maher Ave","Maher Ave from Gilmour Ave to Runnymede Rd","TORONTO","43.662800","-79.478120","Local Road","1","0","City of Toronto Construction","1733234149000","1740911402000","1733745600000","1743154200000","Daily","0","","","City of Toronto Construction","CRCE Construction","City of Toronto Construction","Toronto-TMC: Sewer Replacement, Road rehabilitation, Curb and Sidewalk replacement for state of good repair","No","Gilmour Ave","Runnymede Rd","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","07:00-05:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.478120,43.662800],[-79.478580,43.662670],[-79.478580,43.662670],[-79.478670,43.662650],[-79.478670,43.662650],[-79.478700,43.662640],[-79.479690,43.662430],[-79.479690,43.662430],[-79.480070,43.662340],[-79.480070,43.662340],[-79.480160,43.662310],[-79.480160,43.662310],[-79.480710,43.662200]","Low","None"
"Tor-RDAR2025-257-1","Ontario Pl Shoreline","Ontario Pl Shoreline at Ontario Place Bridge","TORONTO","43.630070","-79.414070","Local Road","1","0","Utility Work","1737035168000","1740909602000","1737424800000","1740996000000","Daily","0","","","Utility Work","OJCR Construction LTD","Utility Work","Toronto-TMC: New Service Installation","No","","","Ontario Place Bridge","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.414070,43.630070]","Low","None"
"Tor-RDAR2025-257-2","Ontario Place Bridge","Ontario Place Bridge at Ontario Pl Shoreline","TORONTO","43.630070","-79.414070","Local Road","1","0","Utility Work","1737035168000","1740909602000","1737424800000","1740996000000","Daily","0","","","Utility Work","OJCR Construction LTD","Utility Work","Toronto-TMC: New Service Installation","No","","","Ontario Pl Shoreline","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.414070,43.630070]","Low","None"
"Tor-RDAR2025-257-3","Lake Shore Blvd W","Lake Shore Blvd W 98m East of Ontario Dr","TORONTO","43.630590","-79.418590","Major Arterial Road","1","0","Utility Work","1737035168000","1740909602000","1737424800000","1740996000000","Daily","0","","","Utility Work","OJCR Construction LTD","Utility Work","Toronto-TMC: New Service Installation","No","","","Ontario Dr","BOTH_DIRECTIONS","CONSTRUCTION","","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.418590,43.630590]","Medium","None"
"Tor-RDAR2024-6332-6","Bremner Blvd","Bremner Blvd from Spadina Ave to Rees St","TORONTO","43.640560","-79.393000","Minor Arterial Road","1","0","Utility Work","1734121775000","1740909602000","1736215200000","1741942800000","Daily","0","","","Utility Work","Powerline Plus Ltd","Utility Work","Toronto-TMC: Underground Electrical work including splicing and cable pulling","No","Spadina Ave","Rees St","","ONE_DIRECTION","ROAD_CLOSED","ROAD_CLOSED_CONSTRUCTION","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.393000,43.640560],[-79.392080,43.640760],[-79.391960,43.640770],[-79.391930,43.640770],[-79.391890,43.640770],[-79.391850,43.640770],[-79.391810,43.640770],[-79.391770,43.640770],[-79.391740,43.640770],[-79.391700,43.640770],[-79.391590,43.640760],[-79.391510,43.640750],[-79.391500,43.640750],[-79.391500,43.640750],[-79.390010,43.640500],[-79.390010,43.640500],[-79.389980,43.640490],[-79.389930,43.640490],[-79.389880,43.640480],[-79.389830,43.640470],[-79.389770,43.640460],[-79.389720,43.640450],[-79.389670,43.640450],[-79.389620,43.640440],[-79.389560,43.640440],[-79.389510,43.640430],[-79.389460,43.640430],[-79.389410,43.640430],[-79.389350,43.640420],[-79.389300,43.640420],[-79.389250,43.640420],[-79.389190,43.640420],[-79.389160,43.640420],[-79.389120,43.640410],[-79.389090,43.640410],[-79.389050,43.640410],[-79.389010,43.640410],[-79.388980,43.640410],[-79.388940,43.640410],[-79.388920,43.640410],[-79.388920,43.640410],[-79.388910,43.640420],[-79.388870,43.640420],[-79.388840,43.640420],[-79.388840,43.640420],[-79.388760,43.640430],[-79.388590,43.640460],[-79.388420,43.640500],[-79.388320,43.640540],[-79.388240,43.640560],[-79.388080,43.640620],[-79.387890,43.640700],[-79.387620,43.640860]","Low","None"
"Tor-RDAR2024-6332-7","Rees St","Rees St 45 m North of Lake Shore Blvd W to Bremner Blvd","TORONTO","43.640320","-79.387190","Unknown","1","0","Utility Work","1734121775000","1740909602000","1736215200000","1741942800000","Daily","0","","","Utility Work","Powerline Plus Ltd","Utility Work","Toronto-TMC: Underground Electrical work including splicing and cable pulling","No","Lake Shore Blvd W","Bremner Blvd","","ONE_DIRECTION","ROAD_CLOSED","ROAD_CLOSED_CONSTRUCTION","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.387190,43.640320],[-79.387190,43.640320],[-79.387250,43.640450],[-79.387310,43.640550],[-79.387410,43.640670],[-79.387480,43.640740],[-79.387550,43.640800],[-79.387620,43.640860]","Low","None"
"Tor-RDAR2025-925-1","Fort York Blvd","Fort York Blvd from Fleet St to Lake Shore Blvd W","TORONTO","43.636390","-79.406840","Minor Arterial Road","1","0","Utility Work","1739536033000","1740909602000","1739930400000","1742115600000","Daily","0","","","Utility Work","Powerline Plus Ltd","Utility Work","Toronto-TMC: Road crossing, cable pulling and splicing","No","Fleet St","Lake Shore Blvd W","","ONE_DIRECTION","ROAD_CLOSED","ROAD_CLOSED_CONSTRUCTION","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.406840,43.636390],[-79.406860,43.636240],[-79.406870,43.636150],[-79.406870,43.636090],[-79.406870,43.636030],[-79.406860,43.635950],[-79.406830,43.635840],[-79.406710,43.635480]","Low","None"
"Tor-RDAR2025-925-2","Lake Shore Blvd W","Lake Shore Blvd W at Fort York Blvd to 119 m Southwest of Newfoundland Rd","TORONTO","43.635480","-79.406710","Major Arterial Road","1","0","Utility Work","1739536033000","1740909602000","1739930400000","1742115600000","Daily","0","","","Utility Work","Powerline Plus Ltd","Utility Work","Toronto-TMC: Road crossing, cable pulling and splicing","No","Fort York Blvd","Newfoundland Rd","","BOTH_DIRECTIONS","ROAD_CLOSED","ROAD_CLOSED_CONSTRUCTION","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.406710,43.635480],[-79.407000,43.635430],[-79.407470,43.635320],[-79.407620,43.635270],[-79.407620,43.635270],[-79.407810,43.635190],[-79.407980,43.635100],[-79.408120,43.635020],[-79.408260,43.634910],[-79.408520,43.634680],[-79.408710,43.634480],[-79.408710,43.634480],[-79.408790,43.634380],[-79.408850,43.634300],[-79.408910,43.634210],[-79.409040,43.634020],[-79.409200,43.633770],[-79.409310,43.633560],[-79.409410,43.633410],[-79.409460,43.633320],[-79.409520,43.633240],[-79.409660,43.633070],[-79.409770,43.632960],[-79.409870,43.632870],[-79.410010,43.632790],[-79.410200,43.632680],[-79.410460,43.632580],[-79.410960,43.632440],[-79.410960,43.632440],[-79.412310,43.632000]","Medium","None"
"Tor-RDAR2025-656-1","Lake Shore Blvd E","Lake Shore Blvd E at Carlaw Ave","TORONTO","43.655000","-79.337430","Minor Arterial Road","1","0","Utility Work","1738881909000","1740909602000","1739239200000","1741341600000","Daily","0","","","Utility Work","EllisDon Civil LTD","Utility Work","Toronto-TMC: Guild will commence the installation of Concrete Encased Street Lighting Duct Banks (N side of LSBE @ Carlaw) starting February 3rd. Please see the attached TMP for your review and kindly notify me if any corrections or recommendations are needed.

Thank you for your attention to this matter.


Best regards,

Adrian Royce-Batista","No","","","Carlaw Ave","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","21:00-05:00","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.337430,43.655000]","Low","None"
